Date,Classical,Quantum,SP500
2024-10-30,100000.0,100000.0,100610.8399568564
2024-10-31,99374.63058627266,99014.57079843196,100501.01524301669
2024-11-01,97370.18007466916,96980.72443902104,101286.96214515349
2024-11-04,97724.0083771252,97304.26507379688,103084.37280126348
2024-11-05,97501.49803780472,96883.52581741972,102859.76646409312
2024-11-06,99116.71835952748,98724.48504084587,102635.66866089404
2024-11-07,102864.12216352532,104308.01552486003,104522.3976461564
2024-11-08,103904.13955308702,104812.81039928673,105481.7128207807
2024-11-11,106056.19597673551,105341.80751786484,104970.42727466812
2024-11-12,106476.93167865388,105495.04960868153,105666.1967854473
2024-11-13,105968.73838681448,105444.66323201163,105161.2737968501
2024-11-14,105052.439482545,105181.47170502556,104656.00662873533
2024-11-15,103511.30824816554,104125.72473028956,104992.97644287524
2024-11-18,101691.06700059502,102589.37950954326,102765.19679921532
2024-11-19,101424.9669362918,102563.20422514182,100804.17589156258
2024-11-20,101179.6864181884,103220.2612481206,100209.47653363839
2024-11-21,101282.54239603106,103212.51508241984,99106.34707242643
2024-11-22,102599.38208570534,104246.54773782942,99506.67926264551
2024-11-25,103229.0971896882,103349.45301050876,98529.54011483655
2024-11-26,103807.27622095616,103161.738020683,96998.60504298715
2024-11-27,104769.77134075394,104195.74797056471,98656.80448114395
2024-11-29,102863.97512904818,102158.48473451374,98451.21631518484
2024-12-02,103813.26119624743,102865.4795561846,98573.48173329097
2024-12-03,104773.12157070397,103293.20815082332,97027.95447660581
2024-12-04,105181.01549450825,103593.29825813588,96475.23188018978
2024-12-05,106572.16810912876,105148.20375002237,96642.51360553293
2024-12-06,106394.31696493328,105197.42716309598,95427.24849799478
2024-12-09,109008.42296760809,106930.95008419304,95879.21156497054
2024-12-10,107604.696936167,104702.98963125958,95271.87312700549
2024-12-11,106544.15884801836,102650.74662489376,95002.12932419508
2024-12-12,109370.93372379174,105311.504643467,94399.19629622929
2024-12-13,108586.67086759434,104475.83775144666,96426.80143956777
2024-12-16,118344.0226484074,110356.416886538,96457.96140686897
2024-12-17,124155.46551426446,115123.3277566386,95347.04309109553
2024-12-18,121518.29229592012,112806.35999468088,96281.72758997531
2024-12-19,115210.02340006136,107544.86555530476,94994.74174096878
2024-12-20,114688.6332596688,107097.148940774,95264.95248224662
2024-12-23,116301.0515293474,108110.51547291684,93193.47514591829
2024-12-24,118847.62561930712,110715.3094703816,91834.33929340182
2024-12-26,121364.0158489135,112568.27139161705,92083.06223092342
2024-12-27,122513.71465550143,113361.78309550576,92897.96182706057
2024-12-30,120933.13933982611,111839.21749087473,93122.71210856379
2024-12-31,118736.7088708548,109670.7854508844,93044.94181285135
2025-01-02,117624.37869939757,108450.85134750298,92771.57535393565
2025-01-03,117757.9059556868,108720.53884264092,91260.44949267081
2025-01-06,119030.43750777384,110236.51654654717,90559.01477583787
2025-01-07,119961.96174286108,110907.0382792434,90129.13455282003
2025-01-08,117647.24805700684,107955.59096459436,91252.39861950997
2025-01-10,117987.94166991756,107784.90195352818,91651.39568526407
2025-01-13,115536.3042545876,105761.13547639924,89862.83649530822
2025-01-14,115808.61120435593,104966.26939523204,90235.8532904156
2025-01-15,115621.24867350516,105420.89112168369,89884.81487202409
2025-01-16,117776.88346596029,108404.24314323028,89237.69961558752
2025-01-17,118249.16864100606,108818.63226403388,89899.1247745361
2025-01-21,120546.81276440456,110850.12473605436,90992.89382245194
2025-01-22,122283.68764235672,113215.28013378684,91997.08361510455
2025-01-23,122960.54217012692,114936.82202936776,91165.46293341118
2025-01-24,123031.41313320072,114963.54444645952,90889.23629357574
2025-01-27,123466.81358838094,114938.8519518004,91273.91269110331
2025-01-28,113809.98270946664,106104.89836285492,92327.01580482243
2025-01-29,115621.40584152329,108670.41043523898,91869.33835357588
2025-01-30,115199.09466902488,107055.46316922078,91719.68463069788
2025-01-31,118106.57946299671,109218.26278464752,90612.76846128391
2025-02-03,119161.26636213915,108942.50840875276,89426.87224909235
2025-02-04,118443.73125070604,107677.48275777082,90293.36206118127
2025-02-05,120038.58367801282,108992.53151790056,91724.91879358001
2025-02-06,123285.13980997627,111844.20591905148,91693.70227637727
2025-02-07,123180.02072731404,112929.46947771843,92780.74798512748
2025-02-10,121958.30107644742,113043.68114323547,93205.38297535839
2025-02-11,124348.74588051312,115006.16090304576,92567.97186953154
2025-02-12,124051.73100088978,114924.83446660051,92991.3806853942
2025-02-13,124066.32103609882,114802.07806378527,94657.40365009694
2025-02-14,124801.70702176244,115996.9837108365,94664.02601234506
2025-02-18,124718.04163255967,116131.6961860539,96388.57566116819
2025-02-19,124311.91203840112,117095.85573586596,93571.24103356974
2025-02-20,124327.57760241228,116657.49522927124,94487.83579923603
2025-02-21,123004.46010663795,114719.44505351188,94626.0914828789
2025-02-24,119511.36391757762,111226.23330317736,94350.32889151525
2025-02-25,116852.4481716577,109264.77864963196,94493.4262502528
2025-02-26,115498.37008702164,107527.8501284442,92408.83298195992
2025-02-27,117937.92943871875,109835.80653416151,92222.6611011931
2025-02-28,113708.35448923842,105963.7359113808,92640.01165745388
2025-03-03,115290.95682362992,107881.81275285572,94236.56348463701
2025-03-04,111758.4495382408,103618.62312169927,93727.64444376582
2025-03-05,110567.22054872612,102377.57599939567,92913.03262180975
2025-03-06,111854.46667600174,103516.95415655736,92428.65843540413
2025-03-07,106925.40676211908,99460.56714453666,93432.05238360455
2025-03-10,109602.9305392224,101509.1163778521,93824.82930261882
2025-03-11,104564.40548159316,96849.16104788506,93305.90991625166
2025-03-12,105501.81116321302,98333.36038623589,93893.37289386072
2025-03-13,106669.69491519836,100444.27835063852,94041.43771206998
2025-03-14,104035.75732467596,99240.21432707184,95119.11424544812
2025-03-17,106715.43511903542,102184.87181740298,94407.21013496723
2025-03-18,106693.40151121946,102502.16318895732,94101.4111108209
2025-03-19,104993.03929398004,100784.96331170628,93727.83810068929
2025-03-20,107606.84207854728,103204.43980503402,92217.08507929558
2025-03-21,106592.2145883623,102181.30649299052,92570.63420772247
2025-03-24,107002.23031782618,101965.6314665842,92888.73273660943
2025-03-25,108109.30387887268,103463.25268982918,92938.35126187718
2025-03-26,108180.30770006866,103638.5627836123,92735.39457304367
2025-03-27,105660.60333852629,100572.15702426786,91291.26288318055
2025-03-28,103469.50159890564,97556.40267689862,90899.30574885814
2025-03-31,101279.93432205849,95950.76296835448,90589.35485340052
2025-04-01,101313.76611161926,95771.72916932912,89808.40407427611
2025-04-02,101909.26937051404,96200.80815069396,89686.92764681621
2025-04-03,103579.35535983622,97394.6257620371,90140.53691145746
2025-04-04,94900.66429353692,90580.82659821265,92111.32708945361
2025-04-07,89885.69730335365,84762.55118064609,92337.52642349979
2025-04-08,92312.24267198084,86245.51197965945,92651.15428609253
2025-04-09,92317.36689744952,86164.60555610167,92617.063584481
2025-04-10,105474.6472246661,97307.31014255168,90646.11411706997
2025-04-11,100157.153923336,92971.84715407144,90662.02716816044
2025-04-14,103135.39600615844,94547.9884236018,90767.11686592341
2025-04-15,102657.21523411274,94695.47554216854,93345.51390973131
2025-04-16,103470.76373841088,95808.61506793092,93186.36187665594
2025-04-17,101047.4928311541,93339.80595905,93549.36151667527
2025-04-21,100485.34244478271,92576.73388555998,93557.08832010158
2025-04-22,97350.96103661992,89723.07246528177,92361.86163105814
2025-04-23,99737.77354210649,91935.2903153237,93602.70474205674
2025-04-24,102746.96703150644,94732.22102478956,94445.34527415871
2025-04-25,106846.01486098336,98505.36698041824,95337.44291821397
2025-04-28,108034.92311287414,99934.27527028644,94399.77113531285
2025-04-29,108252.78435883968,100020.78451750142,95946.26432704071
2025-04-30,108679.35326660571,101177.54563393892,94466.83947278984
2025-05-01,108957.14106975596,101412.47713023303,95140.43758059856
2025-05-02,110329.95882195215,102688.94550785817,97548.78671759897
2025-05-05,113063.02493550758,104979.61153542696,96499.60701175783
2025-05-06,113064.95758336874,104526.85501104544,95925.91470463539
2025-05-07,112338.13367435416,104315.99191567226,96079.98426566609
2025-05-08,113448.766238374,105304.98879287406,95577.22779715733
2025-05-09,112793.81568652714,105795.1794753492,93942.218734481
2025-05-12,112847.36643950868,105312.6663390386,94059.98672297032
2025-05-13,118476.5151629441,109686.14742485828,92971.7877906489
2025-05-14,121776.8957443872,112194.86423578997,93515.32167661324
2025-05-15,121070.39575781976,112805.11243103152,92584.92835149771
2025-05-16,121264.91142561188,112937.63698503126,94256.15988492282
2025-05-19,121051.41425648134,112808.77478475786,93463.93054027877
2025-05-20,121581.6995115609,113242.74428333103,93167.12238300683
2025-05-21,121551.40226155566,113113.88559509012,94070.90017783783
2025-05-22,119591.8071250303,109837.52201666492,92802.77750158969
2025-05-23,119919.85462144869,110755.24660045716,93086.32188369057
2025-05-27,119087.22350541412,110218.56396467306,94510.3374596896
2025-05-28,121968.8248797147,112413.85796057316,92832.68860537748
2025-05-29,122600.5830788623,112789.08216535408,93071.24463152545
2025-05-30,122727.20096207954,113525.2666157134,93389.82604788047
2025-06-02,122893.57319140238,114284.42000659648,94262.20175889395
2025-06-03,124795.54051483623,115836.67493940942,92984.99490323402
2025-06-04,126889.75763688143,118029.9338545538,91637.0490678771
2025-06-05,127450.64523900616,118092.0256211999,92223.01773740022
2025-06-06,127232.84420546486,118078.80399216802,92577.4935192669
2025-06-09,125349.87270508532,117499.75584101462,92884.52792646538
2025-06-10,123957.14885455526,116890.56900570614,93293.64190957898
2025-06-11,123857.7696174638,116743.26083242572,92618.70298474302
2025-06-12,125586.94309433886,117313.16562312936,92906.71935279515
2025-06-13,126198.4879678968,119139.10947486176,93259.70170641324
2025-06-16,123143.77995325964,117724.05579674729,92548.70902283571
2025-06-17,124782.55167879508,118871.4859807563,94550.73055120771
2025-06-18,124020.4591938027,118561.85370882276,95103.75312075477
2025-06-20,124288.42502212863,119461.88327123893,93864.36847770437
2025-06-23,124171.64027819864,119124.39003933106,94607.85017823768
2025-06-24,126112.47466277063,120931.8981827008,93607.30964204702
2025-06-25,129524.10103025298,123183.54635920204,94487.30175681444
2025-06-26,129370.61962677645,124400.61520923005,95773.59797789782
2025-06-27,130874.22452550908,125308.2442807937,94927.96764530434
2025-06-30,129794.30764456536,125130.6250604777,96010.13214292392
2025-07-01,131953.51616685098,127178.63761644324,96505.22627041153
2025-07-02,129551.53013649184,124686.77603366264,97450.73395989701
2025-07-03,130772.5340245996,126420.9617799782,99593.07152977212
2025-07-07,132962.4748490918,128808.98847832454,99363.38508601587
2025-07-08,132481.69270514898,127870.95079494818,98561.48537782017
2025-07-09,131628.25676942198,127819.75971316206,97614.3139284903
2025-07-10,132758.57327201366,129282.602994092,96757.82361790667
2025-07-11,131265.20983078366,127389.51229354576,96719.30812773186
2025-07-14,130241.93626909264,126524.99943928282,97139.504220574
2025-07-15,131601.9680045181,127275.01653994962,97490.52454509675
2025-07-16,131864.2525250956,127800.74919900393,98451.3489318972
2025-07-17,131353.82172830083,128494.07734734,98512.74497235738
2025-07-18,133192.94775007083,130166.96633010363,100183.29629346059
2025-07-21,132059.89473527655,129747.41144516492,99930.35992483085
2025-07-22,132843.67078447048,130698.45124614016,103060.17976126207
2025-07-23,130643.668175355,128731.48998609954,103840.40626746538
2025-07-24,132067.3799703567,130779.73172175363,102880.60288707515
2025-07-25,132609.14739349805,132038.82485769776,101680.33716845837
2025-07-28,133028.04875831236,132762.16478651686,102285.021332277
2025-07-29,133666.9222685631,133443.73941288586,102074.55564843006
2025-07-30,133967.2909876848,132349.03445443604,102949.55865322714
2025-07-31,133695.28954485914,131799.3816564209,103551.0106427849
2025-08-01,131101.05666735634,128954.42738850802,103514.80799050565
2025-08-04,128981.0305983705,126462.86176370812,102570.17866572824
2025-08-05,131458.50982391404,128550.80838337076,100857.19898496746
2025-08-06,129666.48592155532,127669.94709320164,100394.58585533786
2025-08-07,131842.9099318863,129564.14236726628,101417.28944289616
2025-08-08,127640.18748953132,128916.82021539424,101711.78348236247
2025-08-11,128004.80914541752,129584.09933487848,100323.50312109992
2025-08-12,127761.72047344247,129641.5313275878,100568.28018886062
2025-08-13,131175.29649380737,132613.47278430103,101055.56155359234
2025-08-14,130966.46317605511,131181.91797591205,100090.90428003795
2025-08-15,130959.11441898187,131515.55924241428,100313.03295470917
2025-08-18,129957.88720893917,130642.47790733472,100427.01015793796
2025-08-19,130457.89061264716,130766.38748189047,99173.29196547557
2025-08-20,127721.8939748781,128805.48842125124,99622.85618149041
2025-08-21,127700.8012682857,129019.26112382748,100303.76737679538
2025-08-22,126713.25698029312,128342.03186471904,101583.32621250743
2025-08-25,129108.84995431257,130102.62733914374,102845.51758918265
2025-08-26,128066.39785925145,130293.97005415642,101287.91072479654
2025-08-27,129242.5225631818,131320.54780718483,100259.05386152909
2025-08-28,130050.3205734428,132406.221726977,100892.30423004272
2025-08-29,132269.63048013102,133846.90141411283,101528.12506564113
2025-09-02,130287.79717723335,131107.39040265704,102169.40536454633
2025-09-03,129814.70383001048,130672.83029993845,106681.41670305764
2025-09-04,130066.32588279968,130862.03321140668,107422.79711820454
2025-09-05,131508.95412670576,131993.80519091644,108857.13794552338
2025-09-08,137288.6550760807,135016.16046622238,110086.52187743435
2025-09-09,139750.73292178247,137220.65497336688,110952.0521668114
2025-09-10,137900.8760709716,137048.28847723108,110608.25317099797
2025-09-11,143600.0822939906,145618.55950194292,111612.80755975147
2025-09-12,142773.44750018505,143966.57134933592,110687.89189280146
2025-09-15,142193.00327318814,143162.57301069255,110443.37347122245
2025-09-16,143407.38887530268,144751.18417553292,109888.1398595757
2025-09-17,142265.86729619207,144060.38213328453,110042.48390075291
2025-09-18,140792.54313542016,142179.13643197247,112983.03383352696
2025-09-19,141265.61542997934,143119.01083108378,110644.66842320155
2025-09-22,141864.05083233776,144307.5621893362,111558.33332650438
2025-09-23,141008.6568773524,145325.95081582683,109571.44720810604
2025-09-24,141094.47268477982,143288.53397252248,109037.28488076814
2025-09-25,140703.75590787377,142490.5483486878,110435.54954185004
2025-09-26,139945.97595511362,141698.72052871424,110568.63071611187
2025-09-29,139798.8675100297,141472.07607514676,109270.0810241795
2025-09-30,138082.76141209074,141104.15484439267,108435.84862416709
2025-10-01,137406.57490522735,141573.4338089524,109323.08208295151
2025-10-02,137830.0437649246,141916.7388146242,108469.77293389045
2025-10-03,139225.48789501333,142868.83053776075,108787.65446979941
2025-10-06,139107.43746975728,142428.0863752061,108895.67262238757
2025-10-07,138934.61003093366,142766.42321583244,108142.95709543762
2025-10-08,138184.68040130258,142473.9595009284,110823.413455657
2025-10-09,139769.87708974993,144734.05856782722,111672.78144603246
2025-10-10,140017.96461361554,145180.1059002558,109161.62151329099
2025-10-13,134474.38133637336,139693.4664502557,109444.3919962346
2025-10-14,141091.4214494406,146208.65247964294,108675.2427808952
2025-10-15,139746.18771993442,144162.43263342485,109777.41361321526
2025-10-16,141001.80597194532,145713.56936149378,108843.19135441349
2025-10-17,140169.29788993936,145680.75428817744,108753.41765531807
2025-10-20,141703.92754617453,144490.25051534368,109427.92897227034
2025-10-21,142567.64009304135,145147.38571366738,110554.26316553958
2025-10-22,142067.07384546025,143962.0741492472,109102.25546911875
2025-10-23,141274.8693999074,142922.8169356333,108740.39634313888
2025-10-24,142222.9734589395,144464.62782105105,108206.56982157328
2025-10-27,144171.13070450412,147260.41712848097,107456.49630387954
2025-10-28,145930.17397892484,149405.44470957038,109658.76990646095
2025-10-29,147725.96591873324,151978.34220285786,110214.54812550095
